DATETIMEDATA,PM25,WS,TEMP,RH,WD,stationID
2023-12-18 19:00:00,35.2,1,31,52,32,02t
2023-12-18 20:00:00,38.2,0,30,53,27,02t
2023-12-18 21:00:00,38.9,1,30,54,42,02t
2023-12-18 22:00:00,34.1,0,30,55,78,02t
2023-12-18 23:00:00,33.6,0,29,56,73,02t
2023-12-19 00:00:00,35.7,0,29,56,320,02t
2023-12-19 01:00:00,50.4,0,28,58,309,02t
2023-12-19 02:00:00,49.2,0,28,59,354,02t
2023-12-19 03:00:00,51.5,0,28,61,326,02t
2023-12-19 04:00:00,53.8,0,27,64,7,02t
2023-12-19 05:00:00,52.2,0,27,65,42,02t
2023-12-19 06:00:00,47.7,0,27,66,34,02t
2023-12-19 07:00:00,46.3,0,27,66,49,02t
2023-12-19 08:00:00,43.8,1,27,65,33,02t
2023-12-19 09:00:00,39.0,1,29,61,56,02t
2023-12-19 10:00:00,33.4,1,31,54,46,02t
2023-12-19 11:00:00,27.1,1,33,46,43,02t
2023-12-19 12:00:00,23.5,1,34,41,41,02t
2023-12-19 13:00:00,18.0,1,35,38,61,02t
2023-12-19 14:00:00,15.3,1,34,39,49,02t
2023-12-19 15:00:00,15.1,0,33,40,74,02t
2023-12-19 16:00:00,20.9,0,33,44,288,02t
2023-12-19 17:00:00,31.0,1,33,48,274,02t
2023-12-19 18:00:00,35.8,0,32,48,13,02t
2023-12-19 19:00:00,32.7,0,32,50,345,02t
2023-12-19 20:00:00,34.3,0,31,51,36,02t
2023-12-19 21:00:00,33.1,0,31,52,346,02t
2023-12-19 22:00:00,42.3,0,30,53,210,02t
2023-12-19 23:00:00,45.2,0,30,55,24,02t
2023-12-20 00:00:00,45.0,0,29,57,276,02t
2023-12-20 01:00:00,60.9,0,29,59,279,02t
2023-12-20 02:00:00,50.7,0,29,62,276,02t
2023-12-20 03:00:00,64.5,0,28,63,278,02t
2023-12-20 04:00:00,57.7,0,28,64,276,02t
2023-12-20 05:00:00,58.9,0,28,66,32,02t
2023-12-20 06:00:00,54.4,0,28,67,352,02t
2023-12-20 07:00:00,59.1,0,28,67,80,02t
2023-12-20 08:00:00,32.2,0,28,62,62,02t
2023-12-20 09:00:00,28.9,1,29,58,58,02t
2023-12-20 10:00:00,26.2,1,31,53,33,02t
2023-12-20 11:00:00,22.5,1,33,48,10,02t
2023-12-20 12:00:00,,0,0,0,0,02t
2023-12-20 13:00:00,,0,0,0,0,02t
2023-12-20 14:00:00,25.7,0,0,0,0,02t
2023-12-20 15:00:00,26.9,1,34,42,346,02t
2023-12-20 16:00:00,26.3,1,34,42,357,02t
2023-12-20 17:00:00,25.6,2,33,44,24,02t
2023-12-20 18:00:00,19.4,1,32,46,42,02t
2023-12-20 19:00:00,23.6,1,31,48,52,02t
2023-12-20 20:00:00,26.7,0,31,48,108,02t
2023-12-20 21:00:00,24.0,1,31,48,109,02t
2023-12-20 22:00:00,22.5,1,31,48,96,02t
2023-12-20 23:00:00,19.6,0,30,49,110,02t
2023-12-21 00:00:00,19.9,1,30,50,110,02t
2023-12-21 01:00:00,27.2,1,30,50,103,02t
2023-12-21 02:00:00,19.3,1,29,51,95,02t
2023-12-21 03:00:00,18.8,1,28,51,94,02t
2023-12-21 04:00:00,22.6,1,28,53,79,02t
2023-12-21 05:00:00,18.7,1,27,54,71,02t
2023-12-21 06:00:00,25.4,0,27,56,92,02t
2023-12-21 07:00:00,24.4,1,27,58,89,02t
2023-12-21 08:00:00,25.7,1,27,56,82,02t
2023-12-21 09:00:00,20.1,1,27,52,80,02t
2023-12-21 10:00:00,22.1,1,29,48,75,02t
2023-12-21 11:00:00,14.3,2,31,43,70,02t
2023-12-21 12:00:00,17.3,1,32,39,77,02t
2023-12-21 13:00:00,14.9,1,32,39,58,02t
2023-12-21 14:00:00,12.9,2,32,39,56,02t
2023-12-21 15:00:00,13.2,2,32,43,29,02t
2023-12-21 16:00:00,20.3,2,31,43,20,02t
